Id,Label,timeset,d0,indegree,outdegree,Degree,degree_group
Maranhão,Maranhão,,0,132,350,482,Group 5
Minas Gerais,Minas Gerais,,0,221,1204,1425,Group 1
Afro-Brazilian,Afro-Brazilian,,0,102,367,469,Group 5
Candido Portinari,Candido Portinari,,0,24,847,871,Group 3
Culture Of Brazil,Culture Of Brazil,,0,180,506,686,Group 4
Rio De Janeiro (State),Rio De Janeiro (State),,0,171,380,551,Group 4
Pedro Ii Of Brazil,Pedro Ii Of Brazil,,0,78,473,551,Group 4
Luiz Inácio Lula Da Silva,Luiz Inácio Lula Da Silva,,0,68,595,663,Group 4
Porto Alegre,Porto Alegre,,0,96,938,1034,Group 2
Impeachment Of Dilma Rousseff,Impeachment Of Dilma Rousseff,,0,39,351,390,Group 5
Corruption In Brazil,Corruption In Brazil,,0,180,382,562,Group 4
International Brazilian Jiu-Jitsu Federation,International Brazilian Jiu-Jitsu Federation,,0,6,457,463,Group 5
Brasilia,Brasilia,,0,34,586,620,Group 4
Amapá,Amapá,,0,115,212,327,Group 5
José Sarney,José Sarney,,0,65,1210,1275,Group 1
Grão-Pará Province,Grão-Pará Province,,0,8,423,431,Group 5
Economic History Of Brazil,Economic History Of Brazil,,0,183,187,370,Group 5
Indigenous Peoples In Brazil,Indigenous Peoples In Brazil,,0,210,511,721,Group 3
2014–2016 Brazilian Economic Recession,2014–2016 Brazilian Economic Recession,,0,8,379,387,Group 5
Empire Of Brazil,Empire Of Brazil,,0,246,707,953,Group 3
José De Alencar,José De Alencar,,0,34,713,747,Group 3
Race And Ethnicity In Brazil,Race And Ethnicity In Brazil,,0,30,366,396,Group 5
Infrastructure Of Brazil,Infrastructure Of Brazil,,0,167,586,753,Group 3
São José Dos Campos,São José Dos Campos,,0,25,828,853,Group 3
Fourth Brazilian Republic,Fourth Brazilian Republic,,0,195,252,447,Group 5
Machado De Assis,Machado De Assis,,0,34,729,763,Group 3
Christianity In Brazil,Christianity In Brazil,,0,8,527,535,Group 4
Automotive Industry In Brazil,Automotive Industry In Brazil,,0,172,322,494,Group 5
João Guimarães Rosa,João Guimarães Rosa,,0,23,379,402,Group 5
Índice Bovespa,Índice Bovespa,,0,168,177,345,Group 5
Water Supply And Sanitation In Brazil,Water Supply And Sanitation In Brazil,,0,168,155,323,Group 5
Goiás,Goiás,,0,121,260,381,Group 5
Brazilian Armed Forces,Brazilian Armed Forces,,0,181,304,485,Group 5
Ivory Coast,Ivory Coast,,0,12,289,301,Group 5
Music Of Brazil,Music Of Brazil,,0,176,388,564,Group 4
Slavery In Brazil,Slavery In Brazil,,0,71,297,368,Group 5
Antigua And Barbuda,Antigua And Barbuda,,0,9,438,447,Group 5
"João Pessoa, Paraíba","João Pessoa, Paraíba",,0,42,407,449,Group 5
Politics Of Brazil,Politics Of Brazil,,0,186,310,496,Group 5
Carlos Drummond De Andrade,Carlos Drummond De Andrade,,0,29,824,853,Group 3
"Northeast Region, Brazil","Northeast Region, Brazil",,0,126,315,441,Group 5
Brazilian Painting,Brazilian Painting,,0,173,161,334,Group 5
Military Dictatorship In Brazil,Military Dictatorship In Brazil,,0,204,406,610,Group 4
Amazon Basin,Amazon Basin,,0,179,317,496,Group 5
Telecommunications In Brazil,Telecommunications In Brazil,,0,171,314,485,Group 5
Water Resources Management In Brazil,Water Resources Management In Brazil,,0,167,168,335,Group 5
"Salvador, Bahia","Salvador, Bahia",,0,93,981,1074,Group 2
Judiciary Of Brazil,Judiciary Of Brazil,,0,177,168,345,Group 5
University Of São Paulo,University Of São Paulo,,0,37,475,512,Group 4
Human Rights In Brazil,Human Rights In Brazil,,0,178,245,423,Group 5
Race In Brazil,Race In Brazil,,0,8,366,374,Group 5
Brazilian Real,Brazilian Real,,0,207,243,450,Group 5
Porto Seguro,Porto Seguro,,0,20,434,454,Group 5
Mato Grosso,Mato Grosso,,0,125,219,344,Group 5
Portuguese-Brazilian,Portuguese-Brazilian,,0,55,800,855,Group 3
Dom Pedro Ii,Dom Pedro Ii,,0,10,473,483,Group 5
Crime In Brazil,Crime In Brazil,,0,179,194,373,Group 5
Rio Grande Do Sul,Rio Grande Do Sul,,0,190,880,1070,Group 2
Sport In Brazil,Sport In Brazil,,0,175,432,607,Group 4
Law Enforcement In Brazil,Law Enforcement In Brazil,,0,179,192,371,Group 5
Mato Grosso Do Sul,Mato Grosso Do Sul,,0,128,218,346,Group 5
Coastline Of Brazil,Coastline Of Brazil,,0,167,146,313,Group 5
Augusto Boal,Augusto Boal,,0,22,814,836,Group 3
Italian-Brazilian,Italian-Brazilian,,0,47,301,348,Group 5
Curitiba,Curitiba,,0,86,332,418,Group 5
Mining In Brazil,Mining In Brazil,,0,179,178,357,Group 5
Regions Of Brazil,Regions Of Brazil,,0,193,232,425,Group 5
Doi (Identifier),Doi (Identifier),,0,202,412,614,Group 4
Amazonas (Brazilian State),Amazonas (Brazilian State),,0,126,350,476,Group 5
Paraíba,Paraíba,,0,120,444,564,Group 4
Porto Velho,Porto Velho,,0,39,262,301,Group 5
2018 Brazilian General Election,2018 Brazilian General Election,,0,58,314,372,Group 5
Atlantic Slave Trade,Atlantic Slave Trade,,0,29,701,730,Group 3
Brazilian Cuisine,Brazilian Cuisine,,0,181,374,555,Group 4
Federal Police Of Brazil,Federal Police Of Brazil,,0,25,1510,1535,Group 1
Cinema Of Brazil,Cinema Of Brazil,,0,174,172,346,Group 5
President Of Brazil,President Of Brazil,,0,231,317,548,Group 4
Index Of Brazil-Related Articles,Index Of Brazil-Related Articles,,0,168,159,327,Group 5
Central Bank Of Brazil,Central Bank Of Brazil,,0,181,143,324,Group 5
Foreign Relations Of Brazil,Foreign Relations Of Brazil,,0,185,538,723,Group 3
Jorge Amado,Jorge Amado,,0,42,865,907,Group 3
Government Of Brazil,Government Of Brazil,,0,173,133,306,Group 5
German-Brazilian,German-Brazilian,,0,50,546,596,Group 4
Television In Brazil,Television In Brazil,,0,171,217,388,Group 5
Nelson Pereira Dos Santos,Nelson Pereira Dos Santos,,0,36,1120,1156,Group 2
Rio De Janeiro State,Rio De Janeiro State,,0,11,380,391,Group 5
Luis Carlos Martins Pena,Luis Carlos Martins Pena,,0,5,310,315,Group 5
Geography Of Brazil,Geography Of Brazil,,0,169,270,439,Group 5
Governance Of Brazil,Governance Of Brazil,,0,167,133,300,Group 5
"South Region, Brazil","South Region, Brazil",,0,102,246,348,Group 5
Getúlio Vargas,Getúlio Vargas,,0,94,592,686,Group 4
Isbn (Identifier),Isbn (Identifier),,0,292,419,711,Group 3
Antônio Gonçalves Dias,Antônio Gonçalves Dias,,0,6,663,669,Group 4
Encilhamento,Encilhamento,,0,13,418,431,Group 5
Estado Novo (Brazil),Estado Novo (Brazil),,0,24,301,325,Group 5
Fernando De Noronha,Fernando De Noronha,,0,61,295,356,Group 5
Alagoas,Alagoas,,0,116,249,365,Group 5
Clarice Lispector,Clarice Lispector,,0,26,859,885,Group 3
Bibliography Of Brazil,Bibliography Of Brazil,,0,167,586,753,Group 3
João Cabral De Melo Neto,João Cabral De Melo Neto,,0,34,1117,1151,Group 2
"São Luís, Maranhão","São Luís, Maranhão",,0,53,480,533,Group 4
