Id,Label,timeset,d0,indegree,outdegree,Degree
Santana Da Boa Vista,Santana Da Boa Vista,,0,3,0,3
Future Of The Brazilian Navy,Future Of The Brazilian Navy,,0,10,0,10
Moselle (River),Moselle (River),,0,2,0,2
Religion In Uzbekistan,Religion In Uzbekistan,,0,2,0,2
Odebrecht Case,Odebrecht Case,,0,8,0,8
Mexican Peso Crisis,Mexican Peso Crisis,,0,3,0,3
Company,Company,,0,3,0,3
António Augusto Soares De Passos,António Augusto Soares De Passos,,0,4,0,4
Catholic Church In Venezuela,Catholic Church In Venezuela,,0,2,0,2
Santana Do Maranhão,Santana Do Maranhão,,0,3,0,3
Josué De Castro,Josué De Castro,,0,16,0,16
Ksar Es-Seghir,Ksar Es-Seghir,,0,6,0,6
Languages Of Chile,Languages Of Chile,,0,2,0,2
Princess Isabel Maria Of Braganza,Princess Isabel Maria Of Braganza,,0,5,0,5
Xukuru Language,Xukuru Language,,0,6,0,6
Evandro Lins E Silva,Evandro Lins E Silva,,0,14,0,14
Interoceanic Highway,Interoceanic Highway,,0,2,0,2
Uucp,Uucp,,0,2,0,2
Conditional Cash Transfer,Conditional Cash Transfer,,0,3,0,3
Palmeirândia,Palmeirândia,,0,3,0,3
Requeijão,Requeijão,,0,2,0,2
Law Enforcement In Greenland,Law Enforcement In Greenland,,0,2,0,2
Munhoz,Munhoz,,0,4,0,4
Marian Devotions,Marian Devotions,,0,2,0,2
1969 Brazilian Coup D'État,1969 Brazilian Coup D'État,,0,2,0,2
Br-417,Br-417,,0,2,0,2
Georgian Intelligence Service,Georgian Intelligence Service,,0,2,0,2
Nativity Of Jesus,Nativity Of Jesus,,0,2,0,2
Parliament Of Jamaica,Parliament Of Jamaica,,0,4,0,4
15Th Legislature Of The General Assembly,15Th Legislature Of The General Assembly,,0,6,0,6
Edgar Prestage,Edgar Prestage,,0,2,0,2
Vedanga,Vedanga,,0,2,0,2
Abdon Batista,Abdon Batista,,0,2,0,2
Brazilian Carnival,Brazilian Carnival,,0,184,28,212
Post-Colonialism,Post-Colonialism,,0,2,0,2
Anhembi Sambadrome,Anhembi Sambadrome,,0,6,0,6
Volleyball At The 1964 Summer Olympics,Volleyball At The 1964 Summer Olympics,,0,2,0,2
Limestone,Limestone,,0,5,0,5
Lists Of Jews,Lists Of Jews,,0,2,0,2
Maranhão,Maranhão,,0,132,350,482
Crime In Paraguay,Crime In Paraguay,,0,2,0,2
Brazil–Holy See Relations,Brazil–Holy See Relations,,0,6,0,6
Irish Free State,Irish Free State,,0,2,0,2
Universidade Federal Do Espírito Santo,Universidade Federal Do Espírito Santo,,0,2,0,2
Somaliland Campaign,Somaliland Campaign,,0,2,0,2
Acm Neto,Acm Neto,,0,2,0,2
Military Of Aruba,Military Of Aruba,,0,2,0,2
Congress Of The Dominican Republic,Congress Of The Dominican Republic,,0,3,0,3
Caucaia,Caucaia,,0,2,0,2
Florence,Florence,,0,7,0,7
Homeless Workers' Movement,Homeless Workers' Movement,,0,2,0,2
Superstition,Superstition,,0,3,0,3
Infanta Maria Da Assunção Of Portugal,Infanta Maria Da Assunção Of Portugal,,0,5,0,5
Lindbergh Farias,Lindbergh Farias,,0,9,0,9
Cocido Lebaniego,Cocido Lebaniego,,0,2,0,2
Nikola Tesla,Nikola Tesla,,0,2,0,2
Us Department Of State,Us Department Of State,,0,2,0,2
Member States Of The African Union,Member States Of The African Union,,0,2,0,2
Rock In Rio,Rock In Rio,,0,2,0,2
Volkswagen Do Brasil,Volkswagen Do Brasil,,0,5,0,5
Paul Baran,Paul Baran,,0,2,0,2
Académie Des Beaux-Arts,Académie Des Beaux-Arts,,0,3,0,3
Asháninka,Asháninka,,0,3,0,3
Roman Catholic Diocese Of Cachoeiro De Itapemirim,Roman Catholic Diocese Of Cachoeiro De Itapemirim,,0,2,0,2
Blockade Of Africa,Blockade Of Africa,,0,4,0,4
Non-Aligned Movement,Non-Aligned Movement,,0,6,0,6
Federação Pernambucana De Futebol,Federação Pernambucana De Futebol,,0,2,0,2
Wildlife Of Cape Verde,Wildlife Of Cape Verde,,0,2,0,2
Inter-Parliamentary Union,Inter-Parliamentary Union,,0,2,0,2
Literature,Literature,,0,5,0,5
Fiscal Policy,Fiscal Policy,,0,4,0,4
Br-466,Br-466,,0,2,0,2
Macro-Andean Languages,Macro-Andean Languages,,0,2,0,2
São João Da Baliza,São João Da Baliza,,0,2,0,2
German Occupation Of Estonia During World War I,German Occupation Of Estonia During World War I,,0,2,0,2
Treaty Of Madrid (13 January 1750),Treaty Of Madrid (13 January 1750),,0,11,0,11
Natércia,Natércia,,0,4,0,4
Oshikundu,Oshikundu,,0,2,0,2
Braunschweig,Braunschweig,,0,2,0,2
Garopaba,Garopaba,,0,2,0,2
Coladeira,Coladeira,,0,6,0,6
Court Of Justice Of Rio De Janeiro,Court Of Justice Of Rio De Janeiro,,0,2,0,2
Orchid,Orchid,,0,3,0,3
Hindi Literature,Hindi Literature,,0,2,0,2
Factory (Trading Post),Factory (Trading Post),,0,3,0,3
"Damião, Paraíba","Damião, Paraíba",,0,2,0,2
North Bolivian Quechua,North Bolivian Quechua,,0,2,0,2
Rinópolis,Rinópolis,,0,2,0,2
Religion In Canada,Religion In Canada,,0,2,0,2
Beondegi,Beondegi,,0,2,0,2
Railway Mania,Railway Mania,,0,2,0,2
Roman Catholic Archdiocese Of Aparecida,Roman Catholic Archdiocese Of Aparecida,,0,2,0,2
Minas Gerais,Minas Gerais,,0,221,1204,1425
Jewish Literature,Jewish Literature,,0,2,0,2
Brotas (Neighborhood),Brotas (Neighborhood),,0,2,0,2
Giovanni Berchet,Giovanni Berchet,,0,4,0,4
Taoism,Taoism,,0,2,0,2
Roman Catholic Archdiocese Of Botucatu,Roman Catholic Archdiocese Of Botucatu,,0,2,0,2
Apiacá People,Apiacá People,,0,3,0,3
Syrup,Syrup,,0,2,0,2
